Classification,Number of Offenses
Pocket-Picking,427
Purse-Snatching,345
Shoplifting,20593
Theft From Building,29028
Theft From Coin-Operated Machine,1248
Theft From Motor Vehicles,37558
Theft of Motor Vehicle Parts & Accessories,11678
All Other Larceny,68583
Total,169460
