Point of Entry/Exit During Burglary,Entry,Exit
Front,26,19
Rear,6,8
Side,7,5
Attic,,
Vent/AC,,
Window,5,2
Door,27,21
Patio/Sliding Dr,1,1
Balcony/Fire Escape,1,1
Attached Garage,1,
Wall,,
Vehicle,6,1
Floor,1,
Roof/Skylight,,
Hidden Within,,
Other,12,11
Unknown,61,56
