COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO,31525,3578.11,1128,2,3,8,19,43,28,239,0,0,186,467,53,26,15,11,3,220,12,4,0,0,0,0,35
State Police,,,155,0,0,0,0,1,2,2,0,0,1,13,8,5,14,0,2,7,107,0,0,0,0,0,6
Alleghany County SO,12611,2941.87,371,0,1,1,1,1,16,153,1,0,32,96,6,2,4,0,0,95,26,0,0,0,0,0,8
State Police,,,39,0,0,1,1,0,0,7,0,0,0,1,3,0,6,3,0,1,17,0,0,0,0,0,1
Amelia County SO,11600,2965.51,344,0,2,4,5,1,5,135,1,0,32,96,11,6,6,0,0,80,25,2,0,0,0,0,16
State Police,,,33,0,0,0,0,0,1,6,0,0,0,5,0,3,0,0,0,5,12,0,0,0,0,0,2
Amherst County SO,29549,2646.45,782,0,1,10,14,7,26,121,4,0,62,339,33,35,22,3,0,130,85,0,0,0,1,0,13
State Police,,,47,0,0,0,0,0,3,6,0,0,0,7,6,2,4,0,0,1,11,0,0,0,0,0,7
Appomattox County SO,13700,1963.5,269,0,1,4,6,0,13,66,0,0,21,105,5,2,6,1,0,48,33,0,0,0,0,0,11
State Police,,,16,0,0,0,0,0,0,0,0,0,1,4,0,2,4,0,0,0,6,0,0,0,0,0,0
Augusta County SO,66500,2509.77,1669,2,3,8,9,7,59,315,3,1,125,706,34,87,76,26,9,491,74,2,0,0,0,0,31
State Police,,,136,1,0,1,0,1,7,25,0,0,2,23,13,2,3,1,1,13,44,2,1,1,0,0,8
Bath County SO,5000,1160,58,0,0,0,1,0,0,4,0,0,8,27,1,1,0,0,0,18,4,0,0,0,0,0,1
State Police,,,12,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,7,0,0,0,0,0,0
Bedford County SO,61300,3618.27,2218,0,13,9,32,2,45,591,9,0,150,779,31,63,97,12,2,520,148,0,1,0,0,0,47
State Police,,,68,0,0,2,1,0,5,3,0,0,1,13,4,2,5,1,0,12,21,0,0,0,0,0,3
Bland County SO,7000,1542.85,108,0,0,0,0,0,1,8,1,0,34,72,1,0,0,0,3,45,6,0,0,0,0,0,0
State Police,,,61,0,0,1,0,0,1,3,2,0,0,11,1,1,0,0,0,4,38,0,0,0,0,0,2
Botetourt County SO,31000,2800,868,0,1,5,12,6,24,127,2,1,44,370,23,9,17,6,2,208,127,0,1,0,0,0,15
State Police,,,63,0,0,0,0,1,4,2,0,0,0,15,4,0,1,0,0,3,38,0,0,0,0,0,1
Brunswick County SO,17125,1091.97,187,0,0,0,0,1,11,11,1,0,20,62,8,2,0,1,1,55,23,0,1,0,0,0,4
State Police,,,62,0,0,0,0,0,2,0,0,0,0,3,1,5,1,0,0,1,49,0,0,0,0,0,3
Buchanan County SO,25495,3592.86,916,0,1,2,8,1,61,227,8,1,182,422,24,30,15,2,9,88,64,3,0,0,0,0,31
State Police,,,149,0,0,1,2,0,1,5,2,0,9,34,4,4,4,1,0,15,77,0,0,0,0,0,2
Buckingham County SO,15700,3694.26,580,0,5,5,6,3,19,201,1,0,80,183,6,4,6,2,2,135,18,0,0,0,0,0,22
State Police,,,36,0,0,0,1,0,1,0,0,0,1,9,2,0,5,0,0,1,18,0,0,0,0,0,1
Campbell County SO,46416,3643.14,1691,0,12,11,29,10,34,580,11,0,138,552,71,29,58,11,3,337,64,4,2,1,0,0,32
State Police,,,67,0,0,0,0,0,1,4,0,0,0,9,6,0,2,0,0,5,37,0,0,0,0,0,5
Caroline County SO,21564,2963.27,639,0,7,13,14,9,73,175,3,0,54,222,4,11,21,6,2,80,21,0,0,0,0,0,33
State Police,,,123,0,0,0,0,1,4,5,2,0,2,24,21,5,4,0,0,18,53,0,0,0,4,0,3
Carroll County SO,26893,3049.12,820,0,7,4,5,5,24,246,3,0,117,326,33,10,15,1,3,231,50,1,0,0,0,0,26
State Police,,,68,0,0,0,2,0,1,0,0,0,0,27,2,0,0,0,0,1,34,0,0,0,0,0,1
Charles City County SO 0,7000,728.57,51,0,0,0,1,0,3,14,0,0,9,17,3,1,0,0,1,10,4,0,0,0,0,0,1
State Police,,,24,0,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,0,18,0,0,0,0,0,0
Charlotte County SO,12500,2024,253,1,0,1,2,3,14,109,0,0,22,50,10,2,4,0,0,20,37,0,0,0,0,0,21
State Police,,,29,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,24,0,0,0,0,0,1
Clarke County SO,9837,3629.15,357,0,0,2,0,2,57,34,1,0,18,138,10,6,3,3,0,80,24,3,1,0,0,0,5
State Police,,,29,2,0,0,0,0,5,5,0,0,0,2,0,2,2,0,0,1,13,0,0,0,0,0,2
Craig County SO,5100,1862.74,95,0,1,3,1,0,8,36,0,0,8,20,2,4,1,0,1,6,2,0,0,0,0,0,4
State Police,,,14,0,1,0,0,1,1,3,0,0,1,3,1,0,1,0,0,1,2,0,0,0,0,0,1
Culpeper County SO0,25036,998.56,250,2,0,2,2,1,13,68,1,0,12,81,5,5,4,4,0,77,4,0,0,0,0,0,5
State Police,,,187,0,0,0,1,0,5,9,0,0,0,7,1,2,11,1,2,5,145,0,0,0,0,0,10
Cumberland County SO,9000,1911.11,172,1,0,3,1,0,9,51,0,0,25,45,7,0,1,0,0,19,38,1,0,0,0,0,2
State Police,,,13,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,7,0,0,0,0,0,1
Dickenson County SO,14141,1569.9,222,1,0,7,3,0,10,6,5,0,53,129,2,8,1,0,0,50,3,0,0,0,0,0,1
State Police,,,39,0,0,0,0,0,0,0,0,0,2,2,3,0,1,0,0,2,31,0,0,0,0,0,0
Dinwiddie County SO,24459,4983.85,1219,4,0,5,7,8,19,71,5,0,127,660,31,29,30,3,9,179,162,1,0,0,0,0,7
State Police,,,42,1,0,0,0,0,5,1,0,0,1,6,0,3,4,0,0,7,15,0,0,0,0,0,5
Essex County SO,7932,2407.96,191,3,3,3,3,1,9,37,1,0,27,65,9,1,4,1,0,59,10,0,0,0,0,0,8
State Police,,,13,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,1,4,0,0,0,0,0,2
Fauquier County SO,49630,4056.01,2013,4,10,8,42,8,45,480,18,0,102,616,39,36,47,4,4,555,219,1,2,0,0,0,63
State Police,,,120,0,1,0,0,0,5,6,0,0,1,21,2,2,10,1,0,17,52,0,0,0,0,0,11
