TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD,7780,3946.01,307,0,1,0,0,2,23,13,0,0,23,175,8,30,3,3,0,37,2,0,0,0,0,0,1
Altavista PD,3425,5138.68,176,0,0,1,4,2,6,47,0,0,12,79,4,8,4,0,0,26,8,0,0,0,0,0,1
Amherst PD,2251,3998.22,90,0,0,0,0,1,5,14,0,0,4,43,4,4,2,0,0,19,4,0,0,0,0,0,0
Appalachia PD0,1839,5437.73,100,0,1,0,0,0,7,42,0,0,8,21,3,0,1,0,0,10,6,0,0,0,0,0,2
Ashland PD,6619,9563.37,633,0,0,1,3,11,17,87,1,0,26,283,17,10,1,0,0,205,45,1,0,0,0,0,2
Berryville PD,2963,7188.66,213,0,1,2,0,0,2,23,1,0,8,85,7,3,3,0,2,68,27,0,0,0,0,0,4
Big Stone Gap PD11,4856,6425.04,312,0,1,1,0,4,12,60,3,0,19,132,11,5,0,0,1,85,3,1,0,0,0,0,7
Blacksburg PD,39573,4088.64,1618,1,5,6,13,12,52,278,4,1,119,637,34,27,39,2,12,542,72,1,0,0,0,0,18
Blackstone PD,3675,9251.7,340,0,5,1,5,3,8,80,2,1,17,136,8,13,13,0,1,74,18,0,0,0,0,0,4
Bluefield PD,5078,7050.01,358,0,0,0,0,1,5,32,1,0,7,175,5,58,21,3,0,73,14,0,0,0,0,0,3
Bowling Green PD0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boykins PD0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgewater PD,5203,1326.15,69,0,1,1,1,0,0,7,1,0,5,39,2,2,0,0,1,5,11,0,0,0,0,0,2
Broadway PD,2192,2417.88,53,0,0,0,0,0,1,8,0,0,1,17,1,1,2,1,0,14,10,0,0,0,0,0,1
Brookneal PD,1259,2144.55,27,0,0,0,2,0,2,8,0,0,0,8,0,0,0,0,0,2,4,0,0,0,0,0,1
Burkeville PD0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Charles PD,1134,11640.21,132,0,0,1,1,1,4,21,0,0,19,64,0,0,1,1,1,29,2,0,0,0,0,0,4
Cedar Bluff PD,1085,3963.13,43,0,0,0,0,0,1,8,7,0,11,17,1,1,2,0,1,7,1,0,0,0,0,0,0
Chase City PD,2457,7773.7,191,0,0,0,0,2,5,47,2,1,9,57,10,8,0,0,0,64,6,0,0,0,1,0,2
Chatham PD,1338,747.38,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0
Chilhowie PD,1827,1094.69,20,0,0,0,0,0,8,3,0,0,0,4,1,1,2,0,0,2,0,0,0,0,0,0,1
Chincoteague PD,4317,6208.01,268,1,0,0,1,0,4,53,0,0,26,121,5,2,5,0,0,72,13,0,0,0,0,0,4
Christiansburg PD,16947,6001.06,1017,0,1,1,8,2,18,215,7,0,68,392,21,61,57,18,3,168,80,3,1,0,0,0,22
