Type Security of Structure,Number
Alarm/Audio,1278
Alarm/Silent,317
Bars/Grate,132
Camera,220
Dog,182
Dead Bolt,1977
Locked,10299
Unlocked,1762
Exterior Lights,364
Interior Lights,116
Fence,186
Guard,79
Neighborhood Watch,25
Other,237
None,2892
