Date,Offense,Street,Sub,Zip,Area
8/25/2003,"DEFRAUDING HOTELS, MOTELS >=$200",BYPASS ROAD,229,23185,300
7/16/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,BYPASS ROAD,229,23185,300
8/26/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,BYPASS ROAD,229,23185,300
10/27/2003,DRUNK IN PUBLIC,BYPASS ROAD,229,23185,300
5/16/2003,DRUNK IN PUBLIC,BYPASS ROAD,229,23185,300
8/7/2003,EMBEZZLEMENT <$200,BYPASS ROAD,229,23185,300
1/13/2003,GAS THEFT,BYPASS ROAD,229,23185,300
9/26/2003,GAS THEFT,BYPASS ROAD,229,23185,300
4/5/2003,GAS THEFT,BYPASS ROAD,229,23185,300
10/11/2003,GAS THEFT,BYPASS ROAD,229,23185,300
7/11/2003,GAS THEFT,BYPASS ROAD,229,23185,300
7/12/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
4/7/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
4/7/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
4/7/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
4/7/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
4/7/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
7/9/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
11/20/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
12/10/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
4/24/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
8/13/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
9/17/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
5/26/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
6/20/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
12/16/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
11/3/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
6/13/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
7/20/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
9/21/2003,GRAND LARCENY,BYPASS ROAD,229,23185,300
3/10/2003,"LARCENY,FROM MOTOR VEHICLE",BYPASS ROAD,229,23185,300
12/13/2003,"LARCENY,FROM MOTOR VEHICLE",BYPASS ROAD,229,23185,300
2/14/2003,"LARCENY,FROM MOTOR VEHICLE",BYPASS ROAD,229,23185,300
5/17/2003,"LARCENY,FROM MOTOR VEHICLE",BYPASS ROAD,229,23185,300
7/31/2003,LOST PROPERTY,BYPASS ROAD,229,23185,300
10/24/2003,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE",BYPASS ROAD,229,23185,300
6/19/2003,MOTOR VEHICLE THEFT,BYPASS ROAD,229,23185,300
9/8/2003,MOTOR VEHICLE THEFT,BYPASS ROAD,229,23185,300
8/29/2003,MOTOR VEHICLE THEFT,BYPASS ROAD,229,23185,300
7/16/2003,OPERATE MOTOR VEHICLE -HABITUAL OFFENDER,BYPASS ROAD,229,23185,300
4/7/2003,PETIT LARCENY,BYPASS ROAD,229,23185,300
11/9/2003,PETIT LARCENY,BYPASS ROAD,229,23185,300
3/21/2003,PETIT LARCENY,BYPASS ROAD,229,23185,300
12/29/2003,PETIT LARCENY,BYPASS ROAD,229,23185,300
1/9/2003,PETIT LARCENY,BYPASS ROAD,229,23185,300
1/9/2003,PETIT LARCENY,BYPASS ROAD,229,23185,300
4/2/2003,PETIT LARCENY,BYPASS ROAD,229,23185,300
6/9/2003,PETIT LARCENY,BYPASS ROAD,229,23185,300
5/13/2003,PETIT LARCENY,BYPASS ROAD,229,23185,300
10/8/2003,PETIT LARCENY,BYPASS ROAD,229,23185,300
10/2/2003,PETIT LARCENY,BYPASS ROAD,229,23185,300
2/2/2003,PETIT LARCENY,BYPASS ROAD,229,23185,300
10/30/2003,POSSESSION OF CONTROLLED SUBSTANCES,BYPASS ROAD,229,23185,300
10/28/2003,POSSESSION OF CONTROLLED SUBSTANCES,BYPASS ROAD,229,23185,300
