Type of Call,Total
All Other Calls,217
Lockout,199
Traffic Stops,200
Disturbances,99
Agency Assist,77
Traffic...,84
Alarms,87
Misc. Traffic...,43
Accidents,46
Arrests,37
Domestics,21
Grand Larceny,11
Petiti Larceny,28
Parking Tickets,8
Vandalism,8
B\E,8
Assaults,7
