Arrests by Offense,King George,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",0,2
Robbery,2,3
Aggravated Assault,9,3
Simple Assault/Intimidation,79,11
Arson,2,0
Extortion/Blackmail,0,0
Burglary,17,13
Larceny,32,10
Motor Vehicle Theft,1,1
Counterfeiting/Forgery,2,0
Fraud,6,1
Embezzlement,0,0
Stolen Property,1,1
Vandalism,4,0
Drug/Narcotic Offenses,98,12
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,14,6
TOTAL GROUP A,268,63
Bad Checks,32,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,2,20
Driving Under Influence,135,0
Drunkenness,54,0
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,4,9
Peeping Tom,0,0
Runaway,0,6
Trespass of Real Property,12,2
Conspiracy,1,0
All Other (except Traffic),256,10
TOTAL GROUP B,500,47
GRAND TOTAL,768,110
