Arrests by Offense,Pittsylvania,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,1
Kidnaping,6,0
"Sex Offenses, Forcible",6,1
Robbery,8,1
Aggravated Assault,14,1
Simple Assault/Intimidation,252,8
Arson,1,1
Extortion/Blackmail,1,0
Burglary,26,0
Larceny,46,1
Motor Vehicle Theft,2,1
Counterfeiting/Forgery,0,0
Fraud,4,0
Embezzlement,5,0
Stolen Property,1,0
Vandalism,17,1
Drug/Narcotic Offenses,60,5
"Sex Offenses, Nonforcible",2,0
Pornography,1,0
Gambling,0,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,28,1
TOTAL GROUP A,484,22
Bad Checks,64,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,17,0
Driving Under Influence,153,0
Drunkenness,108,1
"Family Offenses, Nonforcible",20,0
Liquor Laws Violations,14,11
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,38,0
Conspiracy,0,0
All Other (except Traffic),547,15
TOTAL GROUP B,962,28
GRAND TOTAL,1446,50
