Arrests by Offense,Colonial Heights,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,1
"Sex Offenses, Forcible",7,0
Robbery,16,9
Aggravated Assault,10,1
Simple Assault/Intimidation,109,21
Arson,0,5
Extortion/Blackmail,0,0
Burglary,9,0
Larceny,256,94
Motor Vehicle Theft,5,7
Counterfeiting/Forgery,17,0
Fraud,25,5
Embezzlement,31,2
Stolen Property,4,1
Vandalism,19,3
Drug/Narcotic Offenses,189,20
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,28,14
TOTAL GROUP A,727,183
Bad Checks,11,0
Curfew/Loitering/Vagrancy,0,68
Disorderly Conduct,24,18
Driving Under Influence,257,1
Drunkenness,94,4
"Family Offenses, Nonforcible",24,0
Liquor Laws Violations,19,15
Peeping Tom,0,0
Runaway,0,26
Trespass of Real Property,28,13
Conspiracy,0,0
All Other (except Traffic),889,43
TOTAL GROUP B,1346,188
GRAND TOTAL,2073,371
