Arrests by Offense,Danville,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",1,1
Robbery,16,3
Aggravated Assault,17,0
Simple Assault/Intimidation,633,5
Arson,1,0
Extortion/Blackmail,2,0
Burglary,13,1
Larceny,482,9
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,10,0
Fraud,78,0
Embezzlement,12,0
Stolen Property,1,0
Vandalism,76,0
Drug/Narcotic Offenses,275,4
"Sex Offenses, Nonforcible",2,0
Pornography,0,0
Gambling,0,0
Prostitution,8,0
Bribery,0,0
Weapon Law Violations,72,3
TOTAL GROUP A,1709,26
Bad Checks,176,0
Curfew/Loitering/Vagrancy,0,39
Disorderly Conduct,72,7
Driving Under Influence,195,0
Drunkenness,594,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,20,3
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,224,17
Conspiracy,0,0
All Other (except Traffic),1846,62
TOTAL GROUP B,3130,128
GRAND TOTAL,4839,154
