Arrests by Offense,Warren,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",4,0
Robbery,0,4
Aggravated Assault,10,0
Simple Assault/Intimidation,153,14
Arson,0,0
Extortion/Blackmail,0,0
Burglary,5,4
Larceny,37,6
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,6,0
Fraud,4,0
Embezzlement,3,1
Stolen Property,0,0
Vandalism,12,5
Drug/Narcotic Offenses,188,13
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,10,3
TOTAL GROUP A,436,50
Bad Checks,33,0
Curfew/Loitering/Vagrancy,2,35
Disorderly Conduct,21,1
Driving Under Influence,197,2
Drunkenness,486,5
"Family Offenses, Nonforcible",13,1
Liquor Laws Violations,73,34
Peeping Tom,0,0
Runaway,0,60
Trespass of Real Property,72,17
Conspiracy,4,0
All Other (except Traffic),730,45
TOTAL GROUP B,1631,200
GRAND TOTAL,2067,250
