Arrests by Offense,Richmond,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",3,0
Robbery,0,0
Aggravated Assault,7,0
Simple Assault/Intimidation,46,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,1,1
Larceny,38,4
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,42,0
Fraud,0,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,6,5
Drug/Narcotic Offenses,63,5
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,1,0
TOTAL GROUP A,209,15
Bad Checks,18,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,3,6
Driving Under Influence,42,1
Drunkenness,25,2
"Family Offenses, Nonforcible",0,1
Liquor Laws Violations,7,5
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,2,0
Conspiracy,0,0
All Other (except Traffic),196,5
TOTAL GROUP B,294,20
GRAND TOTAL,503,35
