Arrests by Offense,Total State,
,Adult,Juvenile
Murder,256,19
Manslaughter,12,2
Kidnaping,890,57
"Sex Offenses, Forcible",1029,272
Robbery,1569,524
Aggravated Assault,4194,608
Simple Assault/Intimidation,33238,5070
Arson,163,217
Extortion/Blackmail,22,24
Burglary,3247,1244
Larceny,19046,4603
Motor Vehicle Theft,800,244
Counterfeiting/Forgery,2274,58
Fraud,3518,105
Embezzlement,1821,112
Stolen Property,838,224
Vandalism,3484,1613
Drug/Narcotic Offenses,32546,2974
"Sex Offenses, Nonforcible",108,21
Pornography,96,4
Gambling,188,10
Prostitution,648,1
Bribery,9,0
Weapon Law Violations,3362,697
TOTAL GROUP A,113358,18703
Bad Checks,5287,4
Curfew/Loitering/Vagrancy,81,2657
Disorderly Conduct,5182,2015
Driving Under Influence,25440,200
Drunkenness,30136,229
"Family Offenses, Nonforcible",1653,32
Liquor Laws Violations,10148,2030
Peeping Tom,61,2
Runaway,0,5756
Trespass of Real Property,8904,1313
Conspiracy,132,10
All Other (except Traffic),90840,8157
TOTAL GROUP B,177864,22405
GRAND TOTAL,291222,41108
