Arrests by Offense,Richmond,
,Adult,Juvenile
Murder,49,1
Manslaughter,1,0
Kidnaping,79,5
"Sex Offenses, Forcible",49,4
Robbery,172,30
Aggravated Assault,379,22
Simple Assault/Intimidation,1537,303
Arson,8,9
Extortion/Blackmail,2,7
Burglary,161,56
Larceny,551,83
Motor Vehicle Theft,55,17
Counterfeiting/Forgery,43,2
Fraud,154,0
Embezzlement,31,1
Stolen Property,34,8
Vandalism,143,57
Drug/Narcotic Offenses,1913,91
"Sex Offenses, Nonforcible",2,1
Pornography,1,0
Gambling,0,1
Prostitution,26,0
Bribery,1,0
Weapon Law Violations,190,23
TOTAL GROUP A,5581,721
Bad Checks,45,0
Curfew/Loitering/Vagrancy,0,69
Disorderly Conduct,133,160
Driving Under Influence,291,0
Drunkenness,800,6
"Family Offenses, Nonforcible",341,4
Liquor Laws Violations,84,3
Peeping Tom,0,1
Runaway,0,0
Trespass of Real Property,1041,91
Conspiracy,0,0
All Other (except Traffic),5126,73
TOTAL GROUP B,7861,407
GRAND TOTAL,13442,1128
