Arrests by Offense,Chesterfield,
,Adult,Juvenile
Murder,5,2
Manslaughter,0,0
Kidnaping,45,7
"Sex Offenses, Forcible",58,42
Robbery,75,42
Aggravated Assault,151,43
Simple Assault/Intimidation,1173,987
Arson,6,49
Extortion/Blackmail,0,1
Burglary,154,146
Larceny,919,628
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,194,6
Fraud,232,14
Embezzlement,159,17
Stolen Property,24,36
Vandalism,123,251
Drug/Narcotic Offenses,1274,313
"Sex Offenses, Nonforcible",5,5
Pornography,10,0
Gambling,0,0
Prostitution,72,0
Bribery,1,0
Weapon Law Violations,204,96
TOTAL GROUP A,4884,2685
Bad Checks,135,1
Curfew/Loitering/Vagrancy,2,469
Disorderly Conduct,709,279
Driving Under Influence,980,5
Drunkenness,31,17
"Family Offenses, Nonforcible",45,2
Liquor Laws Violations,253,111
Peeping Tom,2,0
Runaway,0,821
Trespass of Real Property,219,184
Conspiracy,1,0
All Other (except Traffic),2761,284
TOTAL GROUP B,5138,2173
GRAND TOTAL,10022,4858
