,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arson,95,83,103,125,103,111,105,102,106,85,129,102
"Assault, Aggrav. ",589,517,644,686,706,645,816,721,717,651,585,595
"Assault, Other ",6716,6304,7223,7052,8001,6977,7085,6985,7259,6991,6214,6201
Bribery ,2,3,3,3,3,1,4,1,1,2,1,2
Burglary ,2611,1960,2156,2325,2531,2410,2539,2593,2263,2375,2422,2574
Counterfeiting ,613,512,583,518,554,562,648,627,504,592,585,496
Destruction ,5528,5023,5865,5780,6188,6346,6444,6663,5718,5521,5428,5583
Drug ,4610,4937,5297,4733,4824,4709,4395,4755,4336,4386,4306,4122
Embezzlement ,254,175,228,214,202,208,225,231,210,199,256,248
Extortion ,7,11,17,7,11,11,8,12,10,9,8,13
Fraud,2289,2377,2508,2347,2337,2410,2491,2321,2193,2244,2431,2050
Gambling ,8,3,6,6,7,7,9,5,3,4,4,2
"Homicide, Murder ",19,17,15,30,18,19,35,27,36,24,27,25
"Homicide, Neg. ",2,0,1,0,0,0,1,1,0,0,1,1
Kidnaping ,107,102,99,96,121,125,126,127,112,87,114,110
Larceny ,10942,9738,11214,11200,12637,12559,12884,13220,12026,11856,11191,11319
MV Theft ,729,614,721,704,763,812,909,910,751,630,681,622
Pornography ,59,66,67,67,55,51,59,70,56,59,56,49
Prostitution ,63,113,103,71,69,116,93,103,100,70,50,42
Robbery ,441,300,349,364,399,360,404,427,401,424,425,435
"Forcible Sex, Rape ",105,108,136,132,128,141,138,130,107,113,99,95
"Forcible Sex, Other ",329,258,300,283,303,307,287,245,294,267,254,212
Nonforcible Sex ,22,17,14,16,19,16,17,16,19,10,11,15
Stolen Property,92,87,121,111,121,96,126,126,119,135,108,100
Weapon Laws ,759,680,803,720,818,744,773,737,766,696,789,764
Group A Offenses ,36991,34005,38576,37590,40918,39743,40621,41155,38107,37430,36175,35777
Group A Incidents ,33856,31053,35246,34431,37519,36423,37126,37694,34944,34371,33040,32648
"Assaults, Other includes simple assaults and intimidation.",,,,,,,,,,,,
"Forcible Sex, Other: includes forcible sodomy, forcible sexual assault with object, and forcible fondling.",,,,,,,,,,,,
Nonforcible Sex includes incest and statutory rape.,,,,,,,,,,,,
"These crime counts represent offenses reported in an incident, not victims of each offense.",,,,,,,,,,,,
