TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD ,8183,6867.89,562,2,2,1,2,3,8,87,2,1,36,228,7,16,21,17,1,79,82,0,0,0,0,0,8
Altavista PD ,3462,4332.75,150,0,1,0,1,0,5,34,0,0,8,65,3,3,3,1,0,27,14,1,0,0,0,0,2
Amherst PD ,2218,2795.31,62,0,0,0,0,0,0,11,0,0,5,21,1,0,2,1,0,6,20,0,0,0,0,0,2
Appalachia PD ,1759,9152.92,161,0,1,0,1,1,4,42,4,0,27,46,0,2,5,0,1,23,33,0,0,0,0,0,2
Ashland PD ,7256,7386.99,536,0,7,2,2,4,20,181,1,0,12,216,6,18,46,2,2,80,106,0,0,0,0,0,8
Berryville PD ,4252,2163.68,92,0,2,0,0,0,1,16,1,0,2,36,2,0,2,1,0,30,6,0,0,0,0,0,0
Big Stone Gap PD ,5622,6278.9,353,0,2,1,1,2,4,96,0,0,37,146,5,7,15,2,1,76,16,0,0,0,0,0,2
Blacksburg PD ,42600,3230.04,1376,0,0,12,15,11,16,275,7,0,81,379,19,13,84,6,3,427,140,0,3,0,0,0,8
Blackstone PD ,3616,7715.7,279,2,7,0,5,3,9,69,0,0,14,76,7,5,7,2,1,65,47,0,0,0,0,0,3
Bloxom PD ,390,256.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bluefield PD ,5402,7700.85,416,0,1,1,3,0,11,43,0,0,23,215,7,33,19,7,3,34,66,0,1,0,0,0,2
