Offense,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Bad Checks,6,19,26,32,37,36,50,300,310,295,265,209,141,113,71,32,1942
Curfew/Loitering/Vagrancy ,6,5,2,2,3,2,5,19,30,23,34,79,51,22,1,2,286
Disorderly Conduct ,264,233,217,290,231,225,164,708,466,341,304,264,259,139,47,42,4194
Driving Under the Influence ,322,604,771,1182,1288,1376,1265,5236,4045,2805,2741,2617,2122,1281,608,487,28750
Drunkenness ,746,900,981,1616,1425,1278,1118,4584,3513,2710,3112,3674,3235,1886,697,368,31843
"Family Offenses, Nonviolent ",17,30,40,45,45,80,74,514,524,429,373,273,187,86,20,3,2740
Liquor Laws ,1806,1997,1799,256,237,154,135,499,441,329,453,627,622,400,140,93,9988
Peeping Tom ,5,2,0,1,2,3,3,4,6,6,4,3,4,5,0,3,51
Runaway*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trespass of Real Property ,560,589,491,454,399,387,316,1316,956,626,679,784,790,563,233,174,9317
Conspiracy to Commit Group A Offense ,15,9,12,7,6,11,6,22,16,12,5,2,4,1,2,1,131
All Other Offenses (except most traffic) ,2475,3292,3605,3971,4209,4058,3836,17464,13699,9977,9249,7985,6160,3357,1712,1537,96586
TOTAL,6222,7680,7944,7856,7882,7610,6972,30666,24006,17553,17219,16517,13575,7853,3531,2742,185828
* This category does not apply to adult arrests. ,,,,,,,,,,,,,,,,,
