Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
COLLEGE & UNIVERSITY,,,,
Christopher Newport U. PD,14,12,2,5
Eastern VA Medical Sch. PD,15,14,1,28
Emory & Henry College PD,2,2,0,2
Ferrum College PD,9,8,1,1
George Mason Univ. PD,56,47,9,16
Hampton University PD,27,22,5,18
James Madison Univ. PD,31,29,2,9
J Sargeant Reynolds C.C. PD,16,12,4,9
Longwood University PD,15,15,0,8
Lord Fairfax C.C. PD,2,2,0,0
Norfolk State University PD,22,16,6,15
Northern Virginia C.C. PD,49,43,6,11
Old Dominion University PD,42,35,7,8
Radford University PD,23,18,5,7
Richard Bland College PD,5,5,0,0
Thomas Nelson College PD,10,8,2,5
U. of Mary Washington PD,13,12,1,5
University of Richmond PD,19,17,2,13
University of Virginia PD,53,40,13,66
UVA's College at Wise PD,9,8,1,1
Va. Commonwealth U. PD,92,77,15,50
Va. Military Institute PD,10,8,2,1
Virginia State University PD,25,18,7,16
Virginia Tech University PD,51,43,8,22
Virginia Western C.C. PD,8,8,0,0
William & Mary College PD,19,17,2,5
COLLEGE AND UNIVERSITY TOTAL,637,536,101,321
