Classification,Number of Offenses
Pocket Picking,556
Purse Snatching,214
Shoplifting,28417
Theft From Building,21080
Theft From Coin-Operated Machine or Device,302
Theft From Motor Vehicles,31501
Theft of Motor Vehicle Parts & Accessories,9144
All Other Larceny,49572
Total,140786
