Circumstances of Aggravated Assaults,Number
Argument,3663
Assault on Law Officer,279
Drug Dealing,48
Gangland,31
Juvenile Gang,10
Lover's Quarrel,389
Other Felony Involved,70
Other Circumstances,1725
Unknown Circumstances,3013
(Up to 2 circumstances can be reported for each victim.),
