Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD ,,,265,0,0,0,1,0,2,22,0,0,6,155,1,0,2,0,2,42,49,0,3,0,0,0,3
Eastern Va Medical School PD9 ,,,24,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,8,0,0,0,0,0,0,0
Emory & Henry College PD ,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ferrum College PD ,,,90,0,0,3,1,2,0,10,0,0,19,24,1,0,2,0,0,17,18,0,0,0,0,0,3
George Mason University PD ,,,496,0,1,0,1,1,0,31,2,0,37,206,3,6,13,3,5,87,187,0,0,0,0,0,1
Hampton University PD ,,,122,0,0,0,0,1,3,14,1,0,18,59,1,3,3,1,0,22,4,0,0,0,0,0,0
J. Sargeant Reynolds Community College PD ,,,39,0,0,0,0,0,1,3,0,0,0,18,0,1,0,0,0,16,1,0,1,0,0,0,0
James Madison University PD ,,,268,0,0,1,0,0,0,13,0,0,3,128,1,3,15,0,2,91,44,0,0,0,0,0,0
Longwood University PD,,,111,0,0,0,1,1,0,16,0,0,2,45,2,0,3,0,1,27,18,0,0,0,0,0,2
Lord Fairfax Community College PD,,,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Norfolk State University PD ,,,231,0,0,2,1,3,3,23,3,0,20,113,2,3,8,0,0,54,2,0,0,0,0,0,1
N. Virginia Community College PD ,,,61,0,0,0,0,1,0,6,0,0,0,30,0,0,0,0,0,21,4,0,0,0,0,0,0
Old Dominion University PD ,,,758,0,1,5,4,8,10,127,1,1,40,283,9,5,18,1,3,256,35,0,0,0,0,0,4
Radford University PD ,,,249,0,1,2,2,0,3,27,1,0,2,60,2,0,3,0,2,98,100,0,0,0,0,0,0
Richard Bland College PD ,,,29,0,0,0,0,0,0,4,0,0,8,6,0,0,0,0,0,10,2,0,0,0,0,0,0
Thomas Nelson Community College PD ,,,18,0,0,0,0,0,1,1,0,0,0,9,0,1,0,0,0,5,0,0,0,0,0,0,1
University of Mary Washington PD ,,,154,0,0,0,2,2,2,7,4,0,1,77,0,0,0,0,0,47,19,0,0,0,0,0,0
University of Richmond PD ,,,216,0,0,0,0,0,0,12,1,0,18,77,5,0,3,0,0,83,40,0,0,0,0,0,0
University of Virginia PD ,,,489,0,1,1,5,1,2,70,2,0,61,228,10,2,12,1,1,70,42,0,1,0,0,0,3
UVA's College at Wise PD ,,,5,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
VA Commonwealth University PD ,,,1099,0,0,0,3,7,14,142,1,0,16,548,10,9,42,0,1,80,281,0,1,0,0,0,38
Virginia Tech University PD ,,,390,0,1,4,3,0,7,46,1,0,27,162,2,8,17,2,3,85,83,0,0,0,0,0,6
VA Western Community College PD ,,,12,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0
Virginia Military Institute PD ,,,75,0,0,0,1,0,0,4,1,0,30,15,0,0,0,0,0,20,4,0,0,0,0,0,
Virginia State University PD ,,,198,0,0,0,1,2,6,36,1,0,3,107,4,2,7,0,1,24,29,0,0,0,0,0,0
William & Mary College PD ,,,294,0,0,0,0,0,0,19,1,0,11,200,1,2,2,0,0,63,8,0,0,0,0,0,0
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
