Location,Total Offenses
Air/Bus/Train Terminal,0
Bank/Savings and Loan,3
Bar/Night Club,0
Church/Synagogue/Temple,13
Commercial/Office Building,22
Construction Site,2
Convenience Store,8
Department/Discount Store,5
Drug Store/Dr Office/Hospital,2
Field/Woods,145
Government/Public Building,19
Grocery/Supermarket,2
Highway/Road/Alley,136
Hotel/Motel/Etc.,5
Jail/Penitentiary,4
Lake/Waterway,2
Liquor Store,0
Parking Lot/Garage,78
Rental Storage Facility,5
Residence/Home,539
Restaurant,11
School/College,92
Service/Gas Station,4
Specialty Store,7
Other/Unknown,145
Total,1249
