COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO,27543,4189.81,1154,2,0,5,13,11,25,273,2,2,159,320,12,16,24,8,0,255,25,0,1,0,0,0,13
State Police,,,160,0,0,0,0,1,10,8,39,0,1,18,1,4,2,0,2,4,81,0,0,0,0,1,4
Alleghany County SO,12071,2824.95,341,1,0,1,6,1,8,82,3,0,46,103,2,2,23,1,0,84,36,0,0,0,0,0,8
State Police,,,50,0,0,0,0,0,0,0,1,0,0,2,0,1,4,0,0,0,41,0,0,0,0,0,1
Amelia County SO,12720,2830.18,360,0,2,1,6,0,23,144,1,0,35,107,11,2,15,2,1,46,42,1,0,0,1,0,18
State Police,,,9,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,2
Amherst County SO,30314,3061.29,928,0,1,7,7,1,7,143,2,0,61,373,14,9,25,4,0,120,215,0,4,0,0,0,12
State Police,,,26,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,18,0,0,0,0,0,1
Appomattox County SO,15185,1672.7,254,0,2,0,5,1,4,14,0,0,34,95,4,1,9,1,2,29,50,2,0,0,0,0,7
State Police,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Augusta County SO,73815,2202.8,1626,2,12,7,6,2,75,153,3,2,132,684,39,27,124,20,8,266,156,7,16,0,0,1,28
State Police,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Bath County SO,4773,879.94,42,0,0,0,0,1,0,5,0,0,7,18,0,0,2,1,0,5,3,0,0,0,0,0,0
State Police,,,23,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,16,1,0,0,0,0,1
Bedford County SO,69637,2861.98,1993,1,2,5,25,2,28,766,2,0,225,498,31,21,126,7,0,304,222,6,14,0,1,0,25
State Police,,,34,0,0,0,0,0,0,3,0,0,0,5,4,2,8,0,0,2,10,0,0,0,0,1,1
Bland County SO,6767,1315.2,89,0,0,0,0,1,0,10,0,0,17,46,0,0,2,0,0,15,9,0,0,0,0,0,2
State Police,,,33,0,0,0,0,0,0,4,0,0,0,6,0,1,1,0,0,0,22,0,0,0,0,0,2
Botetourt County SO,33293,2237.7,745,0,4,3,11,1,21,190,2,0,72,207,10,14,45,10,6,94,130,1,4,0,0,0,19
State Police,,,48,0,0,0,0,0,4,1,0,0,1,0,0,0,2,0,0,1,37,0,0,0,0,0,3
Brunswick County SO,15972,1277.23,204,0,2,1,2,2,6,26,1,0,41,53,12,3,5,1,1,29,26,0,1,0,0,0,8
State Police,,,12,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,8,0,0,0,0,0,0
Buchanan County SO,22994,4183.7,962,1,4,2,17,3,27,309,2,3,114,298,22,25,53,0,12,135,74,0,12,0,0,0,19
State Police,,,53,0,1,0,0,1,2,13,4,0,4,14,3,0,5,0,1,9,7,0,0,0,0,0,2
Buckingham County SO,17296,3659.8,633,0,0,4,7,4,20,152,1,0,94,172,21,8,13,2,2,150,97,0,4,0,0,0,17
State Police,,,14,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,9,0,0,0,0,0,0
Campbell County SO,50453,3434.87,1733,2,5,13,23,9,38,423,2,0,152,578,36,21,105,6,2,267,201,3,12,0,0,0,43
State Police,,,43,0,0,0,0,0,0,1,0,0,0,2,0,1,4,0,1,4,31,0,0,0,0,0,2
Caroline County SO,28000,4182.14,1171,1,11,9,31,7,17,332,9,2,88,351,11,9,91,5,4,166,182,1,5,0,0,0,41
State Police,,,44,0,0,1,0,0,2,7,1,0,2,13,6,1,4,0,0,1,14,0,0,0,0,0,1
Carroll County SO,27301,2758.14,753,0,3,4,5,1,14,166,3,0,82,284,22,4,21,0,3,129,82,0,3,0,0,0,17
State Police,,,31,0,0,0,0,0,0,3,0,0,0,2,2,0,1,0,0,0,24,0,0,0,0,0,0
Charles City County SO,7180,626.74,45,0,1,0,0,0,4,22,0,0,1,8,0,1,0,0,0,8,6,0,0,0,0,0,1
