,2004,2005,2006,2007
Hotline Calls,44333,3092,2895,1654
Victims in Shelter,44123,2998,2656,1613
Children of Victims in Shelter,43903,2976,2630,1662
Families Denied Because of Lack of Space,48051,3073,2614,1860
