Traffic Warrants,FY 2014,FY 2013,FY 2012
Speeding,1330,1425,1522
Seat Belt/ Child Seat,735,1142,1281
Expired Stickers,672,794,873
Improper Equipment,220,252,298
Stop Sign/Traffic Signal,319,615,615
Suspended/No License,453,536,475
DUI,191,194,179
Reckless Driving,72,81,63
Other Traffic Arrests,"1,825","1,825","1,952"
Total Traffic Warrants,"5,817","6,864","7,258"
