Utility K-9 Activity,Total
Apprehensions,21
Area Searches,58
Article Searches,27
Building Checks,"4,698"
Building Searches,176
Foot Patrols,391
Officer Safety,416
Tracks,109
K-9 Facilitated Arrests,298
Weapons Recovered,5
