Offenses,Actual,Cleared,Percent Cleared,"Rate Per 100,000 Population"
Criminal Homicide,12,9,75.00%,5.66
Forcible Rape,61,50,82.00%,28.75
Robbery,293,138,47.10%,138.12
Assault,735,488,66.40%,346.47
Breaking and Entering,"1,313",420,32.00%,618.94
Larceny - Theft,"5,975","1,883",31.50%,"2,816.56"
Motor Vehicle Theft,634,265,41.80%,298.86
Total,"9,023","3,253",36.10%,"4,253.36"
