Type of Investigations,2002,2003,2004
Applicants: Animal Control,2,7,22
Applicants: Auxiliary Police,5,0,7
Applicants: Clerical,15,15,6
Applicants: Computer,0,0,1
Applicants: Dispatcher,32,54,53
Applicants: Identification Technicians,4,6,7
Applicants: Police,256,160,32
Applicants: Special Police Officer,0,9,0
Applicants: Other,0,0,8
Applicants: Total,314,251,236
