Juvenile Arrests,411,412,413,414,Totals
Homicide,0,0,0,0,0
Rape,0,0,0,0,0
Robbery,1,0,0,0,1
Aggravated Assault,0,0,2,4,6
Burglary,0,1,0,1,2
Larceny,0,0,5,1,6
Auto Theft,2,0,0,0,2
Simple Assault,0,7,0,3,10
Drug Offenses,5,2,3,3,13
Weapon Law Violations,0,1,1,2,4
Sex Offenses (except forcible rape),0,0,0,0,0
Disorderly Conduct,2,3,1,0,6
Curfew/Loitering/Vagrancy Violations,14,5,5,22,46
Liquor Offenses/Drunkeness,3,8,2,1,14
Runaway,15,13,14,16,58
All Other Offenses,20,26,16,5,67
Totals,62,66,49,58,235
