Crime Line Statistic,2003,2004
Calls Received Regarding Criminal Activity,278,263
Total number of Cases Solved Based on Crime Line Tips,32,19
Persons Arrested,47,18
Felony Charges,164,42
Misdemeanor Charges,43,7
Value of Recovered Property,"$315,819.00","$1,150.00"
Value of Drugs Recovered,"$17,370.00","$1,642.00"
Total Amount of Rewards Approved by Board of Directors,"$8,895.00","$5,200.00"
