1st Pct,Assaults on Officers,2nd Pct,Assaults on Officers,3rd Pct,Assaults on Officers,4th Pct,Assaults on Officers,5th Pct,Assaults on Officers
111,14,211,6,311,1,411,0,511,4
112,1,212,13,312,0,412,1,512,2
113,0,213,6,313,1,413,1,513,0
114,0,214,4,314,2,414,2,514,1
215,2,315,0,515,4,,,,
,,216,4,,,,,,
Total,15,,35,,4,,4,11,
