Part II Offense,311,312,313,314,315,Totals
Manslaughter,0,0,0,0,0,0
Kidnapping,8,13,10,4,2,37
Sexual Assault (except forcible rape),4,8,4,9,5,30
Simple Assault,97,203,122,113,92,627
Intimidation,31,47,30,24,25,157
Counterfeit/Forgery/Fraud,26,28,15,22,17,108
Identity Theft,8,4,9,4,8,33
Embezzlement,1,2,5,0,0,8
"Stolen Property Offenses (receiving, selling, etc.)",8,9,3,4,3,27
Property Destruction/Vandalism,3,12,19,10,5,49
Drug Offenses,44,94,59,32,28,257
Pornography/Obscene Material,0,0,0,1,1,2
Betting/Gambling/Wagering,0,0,2,0,0,2
Prostitution Offenses,1,5,0,0,0,6
Weapons Laws Violations,26,34,23,23,11,117
Totals,257,459,301,246,197,"1,460"
