Motor Carrier Enforcement Activity,Total
Number of Summonses Issued,45
Overweight Fines,"$587,370"
Motor Carrier Trucks Checked,438
Motor Carrier Trucks Inspected,122
Motor Carrier Trucks Weighed,29
