Type of Narcotic Seized,Amount,Value
Cocaine (Powder),"3,187.00 grams","$191,220.00"
Cocaine (Crack),"9,256.00 grams","555,360.00"
MDMA (ecstasy),206.00 grams,"8,240.00"
Marijuana,"3,156.00 grams","15,780.00"
Methamphetamine,492.00 grams,"73,800.00"
Heroin,"1,905.00 grams","381,000.00"
Mushrooms,44.00 grams,225
Methadone,17.00 grams,"1,363.00"
Morphine,100.00 grams,"8,040.00"
Prescription Pills,"2,530.00 grams","101,229.00"
Total Value,,"$1,336,257.00"
