Public Safety Entity,FY 2002,FY 2003,FY 2004
City Budget,"$592,110,718","$624,838,012","$671,059,941"
Sheriff’s Office,"$24,381,017","$24,589,108","$25,311,113"
Fire/EMS,"$28,811,852","$28,261,058","$29,525,495"
Police Department,"$29,698,561","$31,311,901","$32,361,305"
