Juvenile Arrests,311,312,313,314,315,Totals
Homicide,0,0,0,0,0,0
Rape,0,0,1,0,0,1
Robbery,0,0,1,0,0,1
Aggravated Assault,0,1,0,7,1,9
Burglary,0,1,1,0,0,2
Larceny,1,1,1,6,1,10
Auto Theft,0,0,0,0,0,0
Simple Assault,1,2,1,9,4,17
Drug Offenses,1,2,0,7,2,12
Weapon Law Violations,1,1,0,6,0,8
Sex Offenses (except forcible rape),0,0,0,0,0,0
Disorderly Conduct,0,0,0,6,1,7
Curfew/Loitering/Vagrancy Violations,4,1,0,8,2,15
Liquor Offenses/Drunkeness,1,5,2,3,0,11
Runaway,13,10,20,25,9,77
All Other Offenses,8,11,8,9,6,42
Totals,30,35,35,86,26,212
