Juvenile Arrest,211,212,213,214,215,216,Totals
Homicide,0,0,0,0,0,0,0
Rape,0,0,0,0,0,1,1
Robbery,0,1,1,0,0,0,2
Aggravated Assault,1,1,2,1,2,0,7
Burglary,1,1,0,0,5,0,7
Larceny,1,6,0,1,4,2,14
Auto Theft,0,1,1,1,0,1,4
Simple Assault,7,1,3,2,5,0,18
Drug Offenses,7,6,4,5,3,2,27
Weapon Law Violations,1,1,3,1,5,0,11
Sex Offenses (except forcible rape),0,0,0,0,0,0,0
Disorderly Conduct,2,0,2,0,0,0,4
Curfew/Loitering/Vagrancy Violations,2,0,0,4,0,1,7
Liquor Offenses/Drunkeness,0,2,1,1,3,0,7
Runaway,17,26,19,23,33,15,133
All Other Offenses,7,5,13,10,8,9,52
Totals,46,51,49,49,68,31,294
