McGruff House,Total
"Total Number of Households Participating in the McGruff House Program on January 1, 2004",388
"Total Number of Households Participating in the McGruff House Program on December 31, 2004",379
Total Number of Households That Applied for McGruff House Status,9
Total Number of Background Investigations Conducted on Individuals within Households Applying for McGruff House Status,198
Total Number of McGruff House Applications ended,20
