Property and Evidence,Total
Cases Received,"2,911"
Property Returned to Owner,390
Property Sold at Auction,247
Items Transported to Crime Lab,301
Items Received,"5,544"
Items Destroyed,233
Responded to Crime Lab,41
Items Checked Out,"1,225"
