Type of Narcotic Seized,Amount,Value
Cocaine,"1,034.00 grams","$62,040.00"
Marijuana,"81,165.00 grams","405,822.00"
MDMA (ecstasy),180.00 grams,"3,600.00"
Heroin,10.00 grams,"2,000.00"
Methamphetamine,67.00 grams,"10,125.00"
Prescription Pills,192.00 grams,"7,680.00"
Total Value,,"$491,267.00"
