Community Policing Type,Total
Criminal Arrests,"2,412"
Traffic Warnings,429
Abandoned Vehicles,187
Field Interviews Adult,"4,183"
Truancy,0
Bike/Foot Patrol Hours,"1,237"
Drug Arrests,451
Traffic Summonses,"9,671"
Warrants Served/Attempted,783
Field Interviews Juveniles,916
Curfew Violations,261
Civic Meetings Attended,4
Alcohol Arrests,466
DUI Arrests,679
Parking Tickets,634
Calls for Service EDC Dispatched,"21,330"
Calls for Service Officer Initiated,"4,198"
