Radar and Motorcycle Units Activity,Totals
Traffic Summonses,"23,069"
Felony Arrests,123
Misdemeanor Arrests,268
DUI Arrests,250
Parking Tickets,284
Accidents Investigated,151
School Crossing Hours Worked by School Crossing Guards,"19,593"
School Crossing Hours Worked by Traffic or Patrol Officers,"1,760"
