Month,311,312,313,314,315,Totals
January,245,382,413,366,406,"1,812"
February,242,414,377,370,400,"1,803"
March,299,506,463,383,396,"2,047"
April,271,483,441,362,391,"1,948"
May,256,522,449,412,430,"2,069"
June,254,547,383,328,422,"1,934"
July,269,605,464,377,443,"2,158"
August,241,482,452,423,401,"1,999"
September,260,518,464,347,431,"2,020"
October,222,539,461,373,434,"2,029"
November,242,491,443,339,338,"1,853"
December,218,408,419,341,416,"1,802"
Totals,"3,019","5,897","5,229","4,421","4,908","23,474"
