Community Policing Type,Total
Criminal Arrests,607
Traffic Warnings,340
Abandoned Vehicles,"1,006"
Field Interviews Adult,748
Truancy,20
Bike/Foot Patrol Hours,419.2
Drug Arrests,138
Traffic Summonses,"7,085"
Warrants Served/Attempted,477
Field Interviews Juveniles,516
Curfew Violations,3
Civic Meetings Attended,10
Alcohol Arrests,47
DUI Arrests,66
Parking Tickets,376
Calls for Service EDC Dispatched,"11,269"
Calls for Service Officer Initiated,"1,765"
