Month,Fleet,CRV On-Duty,CRV Off-Duty,Total
January,"188,974","126,859","24,982","340,815"
February,"188,779","122,240","27,711","338,730"
March,"212,763","132,528","25,682","370,973"
April,"210,125","116,853","21,846","348,824"
May,"188,370","122,980","22,294","333,644"
June,"216,634","104,111","21,013","341,758"
July,"211,557","113,674","17,619","342,850"
August,"193,164","94,778","20,039","307,981"
September,"209,464","100,502","19,689","329,655"
October,"173,875","107,636","22,032","303,543"
November,"216,309","104,318","25,959","346,586"
December,"182,168","105,068","25,542","312,778"
Total,"2,392,182","1,351,547","274,408","4,018,137"
