Juvenile Arrest,511,512,513,514,515,Totals
Homicide,0,0,0,0,0,0
Rape,0,0,0,0,0,0
Robbery,0,0,0,1,1,2
Aggravated Assault,0,1,0,1,3,5
Burglary,0,0,0,11,2,13
Larceny,0,14,5,24,5,48
Auto Theft,0,1,0,4,0,5
Simple Assault,3,3,2,0,5,13
Drug Offenses,5,1,0,10,13,29
Weapon Law Violations,1,0,0,2,5,8
Sex Offenses (except forcible rape),0,1,1,0,0,2
Disorderly Conduct,1,1,3,1,13,19
Curfew/Loitering/Vagrancy Violations,2,2,0,7,4,15
Liquor Offenses/Drunkeness,1,0,0,4,1,6
Runaway,24,17,0,24,11,76
All Other Offenses,9,2,1,16,15,43
Totals,46,43,12,105,78,284
