Community Policing Type,Total
Criminal Arrests,"1,277"
Drug Arrests,214
Alcohol Arrests,91
Abandoned Vehicles,400
Traffic Summonses,"5,989"
DUI Arrests,62
Field Interviews Adults,"2,169"
Warrants Served/Attempted,251
Parking Tickets,447
Truancy,12
Field Interviews Juveniles,576
Calls for Service EDC Dispatched,"15,990"
Bike and Foot Patrol Hours,"1,052"
Curfew Violations,117
Calls for Service Officer Initiated,"1,658"
Civic Meetings Attended,34
Citizen Contacts,"10,659"
