Part II Offense,211,212,213,214,215,216,Totals
Kidnapping,10,15,10,3,7,13,58
Sexual Assault (except forcible rape),11,10,7,6,6,4,34
Simple Assault,251,166,151,225,197,119,793
Intimidation,37,45,28,27,49,39,137
Counterfeit/Forgery/Fraud,20,35,29,40,43,49,124
Identity Theft,5,2,8,7,8,12,22
Embezzlement,1,6,16,0,0,4,23
"Stolen Property Offenses (receiving, selling, etc.)",8,6,5,3,5,2,22
Property Destruction/Vandalism,13,13,11,18,16,12,55
Drug Offenses,92,69,78,58,51,48,297
Bribery,0,0,0,0,0,0,0
Prostitution Offenses,0,0,1,0,0,0,1
Weapons Laws Violations,37,49,51,34,46,46,171
Totals,485,416,395,421,428,348,"2,493"
