Crimes of Violence,Crime Clock Time
Homicide,"One every 30 days, 10 hours"
Rape,"One every 5 days, 23 hours"
Robbery,"One every 1 day, 6 hours"
Aggravated Assault,"One every 11 hours, 55 minutes"
All Crimes of Violence,"One every 7 hours, 58 minutes"
