Community Policing Type,Total
Criminal Arrests,"1,083"
Drug Arrests,247
Alcohol Arrests,149
Abandoned Vehicles,480
Traffic Summonses,"6,960"
DUI Arrests,61
Field Interviews Adults,"1,949"
Warrants Served/Attempted,298
Parking Tickets,230
Truancy,22
Field Interviews Juveniles,480
Calls for Service EDC Dispatched,"9,217"
Bike and Foot Patrol Hours,692
Curfew Violations,7
Calls for Service Officer Initiated,"2,481"
Civic Meetings Attended,9
Citizen Contacts,"9,183"
