Alarm Monitoring Activity,Total
Commercial False Alarms Billed,"3,734"
Commercial Amount Billed,"$35,300"
Residential False Alarms Billed,"4,566"
Residential Amount Billed,"$9,035"
Total False Alarms Billed,"8,300"
Total Amount Billed,"$44,335"
