Community Policing Type,Total
Criminal Arrests,"1,048"
Drug Arrests,312
Alcohol Arrests,32
Abandoned Vehicles,209
Traffic Summonses,"5,998"
DUI Arrests,49
Field Interviews Adults,"1,178"
Warrants Served/Attempted,192
Parking Tickets,268
Truancy,100
Field Interviews Juveniles,711
Calls for Service EDC Dispatched,"10,292"
Bike and Foot Patrol Hours,339
Curfew Violations,20
Calls for Service Officer Initiated,"1,551"
Civic Meetings Attended,16
Citizen Contacts,"5,921"
