Community Policing Type,Total
Criminal Arrests,"1,880"
Traffic Warnings,n/a
Abandoned Vehicles,840
Field Interviews Adult,"3,304"
Truancy,72
Foot/Bike Patrol Hours,743
Drug Arrests,386
Traffic Summonses,"5,989"
Warrants Served/Attempted,586
Field Interviews Juveniles,"1,101"
Curfew Violations,13
Civic Meetings Attended,25
Alcohol Arrests,160
DUI Arrests,76
Parking Tickets,512
Calls for Service EDC Dispatched,"18,769"
Calls for Service Officer Initiated,"2,899"
Citizen Contacts,"8,902"
