Rank,Call Nature,Number of Calls
1,Checking Building,"34,838"
2,Vehicle Stop,"25,568"
3,Busy on Investigation,"3,989"
4,See Complainant,"3,101"
5,Motorist Needs Assistance,"2,858"
6,Pick Up Paperwork,"2,811"
7,Suspicious Person,"1,902"
8,Execute Warrant,"1,872"
9,Foot Patrol,"1,748"
10,Traffic Detail,"1,623"
