Rank,Offense,Total
1,Simple Assault,723
2,"Simple Assault, Domestic",614
3,Vandalism of Private Property,514
4,Petit Larceny,438
5,Destruction of Property,399
6,Grand Larceny,353
7,Hit and Run,276
8,Theft from Motor Vehicle,271
9,"Burglary, Residential",260
10,Theft of MV parts and accessories,237
