Rank,Call Nature,Number of Calls
1,See Complainant,"4,581"
2,"Alarm, Burglary","3,292"
3,Disturbance,"3,071"
4,Auto Accident,"2,298"
5,Suspicious Person,"2,037"
6,Animal Control Call,"2,031"
7,Reckless Driver,"1,370"
8,Checking Building,"1,354"
9,Motorist Needs Assistance,"1,339"
10,Larceny,"1,325"
