Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,5,0
Manslaughter,0,0
Kidnaping,14,0
"Sex Offenses, Forcible",11,1
Robbery,39,11
Aggravated Assault,132,10
Simple Assault/Intimidation,1217,68
Arson,5,0
Extortion/Blackmail,2,0
Burglary,67,10
Larceny,977,137
Motor Vehicle Theft,28,7
Counterfeiting/Forgery,14,0
Fraud,57,0
Embezzlement,34,2
Stolen Property,4,1
Vandalism,100,6
Drug/Narcotic Offenses,1198,41
"Sex Offenses, Nonforcible",1,0
Pornography,4,0
Gambling,0,0
Prostitution,16,0
Bribery,0,0
Weapon Law Violations,72,10
TOTAL GROUP A,3997,304
Bad Checks,5,0
Curfew/Loitering/Vagrancy,0,17
Disorderly Conduct,54,83
Driving Under Influence,421,2
Drunkenness,1725,3
"Family Offenses, Nonforcible",13,0
Liquor Laws Violations,461,6
Peeping Tom,0,0
Runaway,0,11
Trespass of Real Property,444,12
Conspiracy,0,0
All Other (except Traffic),1309,113
TOTAL GROUP B,4432,247
GRAND TOTAL,8429,551
