Arrests by Offense,Total County,
,Adult,Juvenile
Murder,96,0
Manslaughter,2,0
Kidnaping,513,21
"Sex Offenses, Forcible",581,148
Robbery,545,114
Aggravated Assault,1976,122
Simple Assault/Intimidation,15626,2425
Arson,64,43
Extortion/Blackmail,27,2
Burglary,1931,311
Larceny,15590,2253
Motor Vehicle Theft,438,83
Counterfeiting/Forgery,1068,22
Fraud,2497,100
Embezzlement,950,10
Stolen Property,421,83
Vandalism,1726,603
Drug/Narcotic Offenses,20562,1737
"Sex Offenses, Nonforcible",54,7
Pornography,133,34
Gambling,21,2
Prostitution,433,1
Bribery,5,0
Weapon Law Violations,1443,153
TOTAL GROUP A,66702,8274
Bad Checks,1087,0
Curfew/Loitering/Vagrancy,6,404
Disorderly Conduct,1439,487
Driving Under Influence,16453,96
Drunkenness,12564,128
"Family Offenses, Nonforcible",507,17
Liquor Laws Violations,2922,871
Peeping Tom,19,1
Runaway,0,2473
Trespass of Real Property,2479,362
Conspiracy,79,6
All Other (except Traffic),41603,2317
TOTAL GROUP B,79158,7162
GRAND TOTAL,145860,15436
