Arrests by Offense,Alexandria,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,0,1
"Sex Offenses, Forcible",10,0
Robbery,28,10
Aggravated Assault,47,6
Simple Assault/Intimidation,326,52
Arson,0,2
Extortion/Blackmail,0,0
Burglary,21,0
Larceny,220,65
Motor Vehicle Theft,21,3
Counterfeiting/Forgery,17,0
Fraud,57,3
Embezzlement,31,0
Stolen Property,3,9
Vandalism,32,4
Drug/Narcotic Offenses,398,36
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,6,0
Prostitution,21,0
Bribery,0,0
Weapon Law Violations,22,9
TOTAL GROUP A,1262,200
Bad Checks,13,0
Curfew/Loitering/Vagrancy,12,0
Disorderly Conduct,129,7
Driving Under Influence,339,1
Drunkenness,378,0
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,441,22
Peeping Tom,1,0
Runaway,0,211
Trespass of Real Property,159,13
Conspiracy,0,0
All Other (except Traffic),726,41
TOTAL GROUP B,2202,295
GRAND TOTAL,3464,495
