Arrests by Offense,Winchester,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",5,0
Robbery,7,1
Aggravated Assault,11,0
Simple Assault/Intimidation,173,10
Arson,0,0
Extortion/Blackmail,0,0
Burglary,3,0
Larceny,244,46
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,1,0
Fraud,21,0
Embezzlement,7,1
Stolen Property,2,1
Vandalism,18,2
Drug/Narcotic Offenses,269,13
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,15,1
TOTAL GROUP A,785,75
Bad Checks,10,0
Curfew/Loitering/Vagrancy,0,6
Disorderly Conduct,7,0
Driving Under Influence,200,1
Drunkenness,482,1
"Family Offenses, Nonforcible",7,2
Liquor Laws Violations,92,23
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,30,0
Conspiracy,0,0
All Other (except Traffic),830,12
TOTAL GROUP B,1658,45
GRAND TOTAL,2443,120
