Arrests by Offense,Poquoson,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",0,1
Robbery,0,0
Aggravated Assault,2,3
Simple Assault/Intimidation,36,4
Arson,0,2
Extortion/Blackmail,0,0
Burglary,2,1
Larceny,11,1
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,0,0
Fraud,3,0
Embezzlement,0,0
Stolen Property,4,0
Vandalism,2,3
Drug/Narcotic Offenses,35,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,0
TOTAL GROUP A,104,18
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,12
Disorderly Conduct,1,0
Driving Under Influence,39,2
Drunkenness,11,1
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,11,8
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,5,1
Conspiracy,0,0
All Other (except Traffic),33,5
TOTAL GROUP B,101,29
GRAND TOTAL,205,47
