Arrests by Offense,Franklin,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,6,1
"Sex Offenses, Forcible",8,0
Robbery,3,0
Aggravated Assault,9,0
Simple Assault/Intimidation,99,2
Arson,0,0
Extortion/Blackmail,0,0
Burglary,26,6
Larceny,71,21
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,7,0
Fraud,3,0
Embezzlement,4,0
Stolen Property,1,1
Vandalism,8,6
Drug/Narcotic Offenses,53,5
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,17,1
TOTAL GROUP A,321,43
Bad Checks,3,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,9,0
Driving Under Influence,40,0
Drunkenness,45,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,29,1
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,16,0
Conspiracy,0,0
All Other (except Traffic),207,10
TOTAL GROUP B,351,13
GRAND TOTAL,672,56
